T,Solar,Wind,Price
451,0,0.036048229,76.41
452,0,0.013196326,69.06
453,0,0.359328931,68.84
454,0,0.334019176,69.06
455,0,0.202259252,64.37
456,0,0.020338691,69.06
457,0,0.028838441,58.43
458,0,0.014888051,53.19
459,0,0.028227539,43.99
460,0,0,42.02
461,0,0.032925939,43.99
462,0,0.18604739,41.26
463,0,0.689982841,52.45
464,0,0.783893153,52.45
465,0.2238,0.942161572,52.45
466,0.4608,0.609988866,53.57
467,0.6129,0.974757011,61.7
468,0.681,0.967806488,70.41
469,0.7075,0.719395555,79.68
470,0.6971,0.837887811,79.68
471,0.6128,0.774071047,76.8
472,0.4488,0.809574185,70.73
473,0.217,0.54786125,74.31
474,0,0.415654371,95.4
475,0,0.493701709,98.16
476,0,0.439313736,97.89
477,0,0.247556665,89.62
478,0,0.330755784,69.93
479,0,0.46357892,68.52
480,0,0.432949872,68.52
481,0,0.136380559,54.35
482,0,0.03535628,54.35
483,0,0.029666239,53.57
484,0,0,53.57
485,0,0,53.57
486,0,0,53.57
487,0,0,51.2
488,0,0,54.14
489,0.0338,0,75.71
490,0.1381,0,75.71
491,0.2102,0,75.71
492,0.2284,0,75.71
493,0.2429,0.020614212,75.71
494,0.2345,0.027703884,75.71
495,0.196,0.043094393,75.71
496,0.1088,0.119929928,75.71
497,0.0095,0.110035505,58.33
498,0,0.256612663,75.71
499,0,0.285322913,75.71
500,0,0.293718382,75.71
501,0,0.177799774,75.71
502,0,0.290807487,75.71
503,0,0.041857596,53
504,0,0.252496484,52.89
505,0,0.133885521,51.2
506,0,0.077107198,50.77
507,0,0.108351743,35.43
508,0,0.103209733,35.43
509,0,0.114150499,34.65
510,0,0.130566413,35.43
511,0,0.061198576,49.18
512,0,0.039705104,52.6
513,0.2175,0.049546945,70.26
514,0.4081,0.023644342,70.26
515,0.5613,0,70.26
516,0.5322,0,70.26
517,0.5679,0,70.26
518,0.5247,0,70.26
519,0.4229,0,57.52
520,0.3114,0,57.52
521,0.109,0.036869706,70.26
522,0,0.207758962,159.6
523,0,0.635140106,159.6
524,0,0.63139628,70.63
525,0,0.691458058,70.63
526,0,0.666850786,53.32
527,0,0.716685533,53.11
528,0,0.619842307,52.44
529,0,0.619028114,49.71
530,0,0.826585594,49.18
531,0,0.817617338,49.18
532,0,0.773082956,35.43
533,0,0.90673262,34.65
534,0,0.892029639,35.43
535,0,0.68452216,48.63
536,0,0.47164201,58.16
537,0.109,0.427839871,66.09
538,0.3235,0.408059152,61.79
539,0.3563,0.224471674,61.84
540,0.3784,0.109543619,66.13
541,0.3346,0.086190841,66.13
542,0.2609,0.205006902,66.13
543,0.2381,0.175130182,61.84
544,0.1307,0.129093419,61.84
545,0.0266,0.072637873,66.13
546,0,0.162966298,160.52
547,0,0.237050223,160.52
548,0,0.244455343,66.14
549,0,0.595106843,66.14
550,0,0.645400098,62.28
551,0,0.792689343,61.83
552,0,0.309488043,57.03
553,0,0.139638521,56.53
554,0,0.161519221,45.81
555,0,0.327359364,40.79
556,0,0.537771682,40.79
557,0,0.618319906,40.79
558,0,0.798033338,40.91
559,0,0.541559491,34.75
560,0,0.727715646,51.56
561,0.1008,0.316159803,53.22
562,0.3571,0.165072722,52.73
563,0.5425,0.222598529,53.22
564,0.6327,0.340242708,53.22
565,0.6563,0.463695644,53.22
566,0.6462,0.539923567,52.73
567,0.5642,0.531077765,51.83
568,0.3954,0.440858765,52.73
569,0.1551,0.827896116,53.22
570,0,0.902791731,153.79
571,0,0.813903078,154.46
572,0,0.461512966,53.22
573,0,0.307842298,51.83
574,0,0.937671349,52.42
575,0,0.858305874,49.53
576,0,0.804312963,34.75
577,0,0.980769291,34.46
578,0,0.86494314,34
579,0,0.799130697,32.62
580,0,0.94544992,32.62
581,0,0.947179426,32.62
582,0,0.874931696,32.62
583,0,0.893599609,19.73
584,0,0.686634049,35.15
585,0.2189,0.771164148,50.52
586,0.4091,0.566191302,49.92
587,0.5094,0.944311772,50.52
588,0.5486,0.908031232,50.52
589,0.5372,0.899747641,51.39
590,0.4018,0.919145578,51.39
591,0.4305,0.874935823,109.28
592,0.3475,0.698639046,117.36
593,0.1858,0.370686495,117.48
594,0,0.216279248,143.07
595,0,0.203672734,154.44
596,0,0.324138388,102.68
597,0,0.079217845,51.39
598,0,0.294291073,51.39
599,0,0,48.58
600,0,0.199391475,48.58
601,0,0.167370707,39.25
602,0,0.292928454,35.15
603,0,0.121471246,35.15
604,0,0.079232827,35.15
605,0,0.075677563,35.15
606,0,0.059393182,35.97
607,0,0.050414148,60.12
608,0,0.045909339,62.38
609,0.1243,0.049009795,68.73
610,0.3369,0.02064081,73.82
611,0.5427,0,65.73
612,0.5165,0,64.62
613,0.4801,0,64.62
614,0.4327,0,62.38
615,0.3182,0,45.78
616,0.1995,0,44.75
617,0.0683,0.010104411,45.78
618,0,0.221463836,64.62
619,0,0.482743837,64.62
620,0,0.113702584,63.75
621,0,0.113706343,49.19
622,0,0.013616537,49.18
623,0,0.034218545,49.19
624,0,0.026417528,49.19
625,0,0.274547005,34.38
626,0,0.431793912,34
627,0,0.573771474,33.33
628,0,0.414748583,33.02
629,0,0.218664605,29.1
630,0,0.306559698,29.1
631,0,0.607177933,29.1
632,0,0.526395984,33.02
633,0,0.61866538,32.97
634,0.003,0.347504429,32.86
635,0.0852,0.19084189,33.8
636,0.1324,0.285132298,37.13
637,0.1041,0.301834042,48.44
638,0.1276,0.088317545,48.44
639,0.1108,0.011856026,48.44
640,0.0825,0,48.44
641,0.0043,0,85.37
642,0,0.01266476,103.72
643,0,0.134454788,140.97
644,0,0.631500671,111.06
645,0,0.867919381,85.37
646,0,1,85.26
